"","AIC.full","AIC.disc","LR.disc","AIC.cont","LR.cont"
"GSE12225.GPL3676_eset",NA,NA,NA,NA,NA
"GSE12945_eset",92.9738027134277,93.3162169080753,0.114039876564749,90.4146422281663,0.2449788846025
"GSE13067_eset",NA,NA,NA,NA,NA
"GSE13294_eset",NA,NA,NA,NA,NA
"GSE14095_eset",NA,NA,NA,NA,NA
"GSE14333_eset",NA,NA,NA,NA,NA
"GSE17536_eset",145.938839581636,144.908798042498,0.226507045081385,139.782026263674,0.764572340106781
"GSE17538.GPL570_eset",31.4659885343684,27.789933797245,0.850464480211321,28.3830538172999,0.29591345936656
"GSE2109_eset",361.589092917128,362.241712747604,0.0976554398835575,355.015748298756,0.839549203819024
"GSE21510_eset",NA,NA,NA,NA,NA
"GSE21815_eset",NA,NA,NA,NA,NA
"GSE26682.GPL570_eset",NA,NA,NA,NA,NA
"GSE26682.GPL96_eset",NA,NA,NA,NA,NA
"GSE33113_eset",NA,NA,NA,NA,NA
"GSE39582_eset",NA,NA,NA,NA,NA
"TCGA.COAD_eset",NA,NA,NA,NA,NA
"TCGA.RNASeqV2_eset",NA,NA,NA,NA,NA
"NHS.HPFS_eset",453.961026347425,457.48430664102,0.0232455829231469,450.440300839394,0.345012067754383
