"","AIC.full","AIC.disc","LR.disc","AIC.cont","LR.cont"
"GSE12225.GPL3676_eset",45.5057234373896,45.438567597288,0.139956715391962,40.5231923634167,0.55490628518108
"GSE12945_eset",93.0898332515217,92.1038074222848,0.221576564541311,89.4865471473593,0.354970808043581
"GSE13067_eset",NA,NA,NA,NA,NA
"GSE13294_eset",NA,NA,NA,NA,NA
"GSE14095_eset",NA,NA,NA,NA,NA
"GSE14333_eset",120.550841434675,121.911999382359,0.0685234693708385,119.178610747726,0.156915812129712
"GSE17536_eset",108.451770024309,117.172266239183,0.00172893769633792,117.415748937681,0.00196434719697612
"GSE17538.GPL570_eset",40.6308346076776,38.0927874838015,0.48143866546869,34.4128287729642,0.775774932948865
"GSE2109_eset",465.984869412588,467.926627548772,0.0512582310455683,459.926647970938,0.746466583280872
"GSE21510_eset",79.5155288123915,76.8173236432169,0.52157749498788,81.7269631272165,0.0370127960755386
"GSE21815_eset",186.411393669473,184.721676686006,0.315012956811721,181.216780877554,0.590903143368012
"GSE26682.GPL570_eset",NA,NA,NA,NA,NA
"GSE26682.GPL96_eset",NA,NA,NA,NA,NA
"GSE33113_eset",NA,NA,NA,NA,NA
"GSE39582_eset",222.782056691857,229.430108207481,0.00487309627831599,219.493037327326,0.318258156511753
"TCGA.COAD_eset",175.804905715188,173.123240324351,0.517281893467421,171.082569014955,0.512479080394767
"TCGA.RNASeqV2_eset",250.614838220865,251.039292774306,0.109456586712327,249.791213246003,0.126856031736538
"NHS.HPFS_eset",531.393462654097,527.684638020203,0.864514083516315,530.855278846991,0.113404871982063
