"studyName" "downloaded" "metadata" "imported" "PCAmodel_677" "PCAmodel_1399" "PCAmodel_536" "title"
"2" "DRP000425" "4" "4" "FALSE" "FALSE" "FALSE" "FALSE" "Homo sapiens T24 human bladder cancer cell line Transcriptome"
"3" "DRP000464" "8" "8" "FALSE" "FALSE" "FALSE" "FALSE" "pre-miRNA profiles obtained through application of locked nucleic acids reveals complex 5’/3’ arm variation including concomitant cleavage and polyuridylation patterns"
"4" "DRP000499" "21" "21" "TRUE" "FALSE" "TRUE" "FALSE" "Homo sapiens strain:Human ICESeq Genome sequencing"
"5" "DRP000527" "2" "4" "FALSE" "FALSE" "FALSE" "FALSE" "RNA sequencing of wild-type or mutant U2AF35 transduced HeLa Cells"
"6" "DRP000665" "7" "7" "FALSE" "FALSE" "FALSE" "FALSE" "Global transcriptional response against glucose deprivation"
"7" "DRP000929" "4" "4" "FALSE" "FALSE" "FALSE" "FALSE" "Human inactive X chromosome is compacted through a polycomb-independent SMCHD1-HBiX1 pathway [RNA-seq]"
"8" "DRP000987" "100" "122" "TRUE" "TRUE" "TRUE" "TRUE" "Interactive Transcriptome Analysis of Malaria Patients and Infecting Plasmodium falciparum in Indonesia"
"9" "DRP001048" "6" "6" "FALSE" "FALSE" "FALSE" "FALSE" "Transcriptome analysis of MCF-7 cells under hormonal deprivation and resveratrol treatment"
"10" "DRP001055" "4" "4" "FALSE" "FALSE" "FALSE" "FALSE" "RNA sequence of mock/wild-type/mutant transduced Kasumi-1 cells"
"11" "DRP001150" "38" "70" "FALSE" "FALSE" "FALSE" "FALSE" "A promoter level mammalian expression atlas (human, RNA-Seq)"
"12" "DRP001219" "1" "1" "FALSE" "FALSE" "FALSE" "FALSE" "Poor responses to tyrosine kinase inhibitors in a child with precursor B-cell acute lymphoblastic leukemia with SNX2-ABL1 chimeric transcript"
"13" "DRP001220" "0" "1" "FALSE" "FALSE" "FALSE" "FALSE" "Poor responses to tyrosine kinase inhibitors in a child with precursor B-cell acute lymphoblastic leukemia with SNX2-ABL1 chimeric transcript"
"14" "DRP001358" "100" "337" "TRUE" "TRUE" "TRUE" "FALSE" "Single cell analysis of lung adenocarcinoma cell lines and the response to an anti-cancer drug stimulation"
"15" "DRP001919" "20" "26" "FALSE" "FALSE" "FALSE" "FALSE" "Omics catalogue of lung adenocarcinoma cell lines"
"16" "DRP001953" "53" "61" "TRUE" "TRUE" "TRUE" "TRUE" "Interactive Transcriptome Analysis of Malaria Patients and Infecting Plasmodium falciparum in Indonesia"
"17" "DRP002315" "8" "8" "FALSE" "FALSE" "FALSE" "FALSE" "Long Noncoding RNA NEAT1-Dependent SFPQRelocation from Promoter Region to ParaspeckleMediates IL8 Expression upon Immune Stimuli"
"18" "DRP002435" "100" "472" "FALSE" "FALSE" "FALSE" "FALSE" "Single-cell RNA-seq analysis of the cell cycle"
"19" "DRP002586" "100" "255" "TRUE" "TRUE" "TRUE" "FALSE" "Single cell analysis of lung adenocarcinoma cell lines and the response to an anti-cancer drug stimulation"
"20" "DRP002625" "3" "3" "FALSE" "FALSE" "FALSE" "FALSE" "Transcriptome Sequencing and Comparative Analysis of Two Types of Exosomes in Human Whole Saliva by Next Generation Sequencing"
"21" "DRP002835" "2" "2" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-Seq of MDA-MB231 cells harboring ANGPTL2 knockdown (MB231/miANGPTL2)"
"22" "DRP002851" "8" "8" "FALSE" "FALSE" "FALSE" "FALSE" "Long non-coding RNA UPAT promotes colon tumorigenesis by inhibiting degradation of UHRF1"
"23" "DRP002860" "14" "24" "FALSE" "FALSE" "FALSE" "FALSE" "PAX6 Isoforms, with OCT4 and KLF4, Differentially Regulate the Induction of Cornea-Specific Genes"
"24" "DRP002866" "24" "24" "TRUE" "FALSE" "TRUE" "FALSE" "The role of BCL6 induced in multiple myeloma cells"
"25" "DRP003120" "16" "18" "FALSE" "FALSE" "FALSE" "FALSE" "Comprehensive analysis of cancer-stromal interactome"
"26" "DRP003223" "4" "4" "FALSE" "FALSE" "FALSE" "FALSE" "transcriptome analysis of Y14-kockdown HeLa cells"
"27" "DRP003241" "16" "16" "FALSE" "FALSE" "FALSE" "FALSE" "Full-parasites: database of full-length cDNAs of apicomplexa parasites, 2014 update"
"28" "DRP003316" "17" "17" "FALSE" "FALSE" "FALSE" "FALSE" "Genome-wide identification of IGF2BP3-targeted mRNA degradation reveals the functional linkage of two proto-oncogenes IGF2BP3 and EIF4E"
"29" "DRP003353" "8" "8" "FALSE" "FALSE" "FALSE" "FALSE" "Transcriptome analysis of oncogene induced transformation in human diploid fibroblasts (TIG-3)"
"30" "DRP003421" "0" "4" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-Seq analysis of human cell lines derived from normal and neoplastic esophageal squamous epithelium"
"31" "DRP003718" "2" "4" "FALSE" "FALSE" "FALSE" "FALSE" "Identification of RNA target of Matrin3 and PTBP1 in neuroblastoma cell line SH-SY5Y by PAR-CLIP"
"32" "DRP003745" "4" "4" "FALSE" "FALSE" "FALSE" "FALSE" "Examination of gene expression in sunitinib resistant cells and its HIF2a knock out cells"
"33" "DRP003751" "1" "2" "FALSE" "FALSE" "FALSE" "FALSE" "Characterization of A Huh.7.5.1-Derived Cell Clone Highly Permissive to Hepatitis C Virus"
"34" "DRP003825" "6" "6" "FALSE" "FALSE" "FALSE" "FALSE" "A distinct subset of CD25 negative T-follicular regulatory cells localizes in the germinal centers"
"35" "DRP003828" "9" "11" "FALSE" "FALSE" "FALSE" "FALSE" "Analysis of gene expression profiles of 48 ABC transporters in normal colon and colon cancer tissues"
"36" "DRP003868" "26" "26" "TRUE" "FALSE" "TRUE" "FALSE" "Global transcriptional response to acidosis"
"37" "DRP003950" "100" "120" "FALSE" "FALSE" "FALSE" "FALSE" "Time-course mRNA expression analysis of human breast cancer MCF-7 cells treated with tamoxifen up to 12 weeks"
"38" "DRP003981" "100" "548" "TRUE" "TRUE" "TRUE" "FALSE" "Combinatory use of the distinct single cell RNA-seq analytical platforms reveals heterogeneous transcriptome response to an anti-cancer drug in lung adenocarcinoma cell lines"
