"studyName" "downloaded" "title"
"1" "GSE13294" 155 "DNA copy-number alterations underlie gene expression differences between microsatellite stable and unstable colorectal cancers."
"2" "GSE14095" 189 "Gene expression signature and response to the use of leucovorin, fluorouracil and oxaliplatin in colorectal cancer patients."
"3" "GSE14333" 157 "Metastasis-Associated Gene Expression Changes Predict Poor Outcomes in Patients with Dukes Stage B and C Colorectal Cancer."
"4" "GSE17536" 177 "Experimentally derived metastasis gene expression profile predicts recurrence and death in patients with colon cancer."
"5" "GSE21815" 140 "Long noncoding RNA HOTAIR regulates polycomb-dependent chromatin modification and is associated with poor prognosis in colorectal cancers."
"6" "GSE26682.GPL570" 176 "MRE11 deficiency increases sensitivity to poly(ADP-ribose) polymerase inhibition in microsatellite unstable colorectal cancers."
"7" "GSE26682.GPL96" 155 "MRE11 deficiency increases sensitivity to poly(ADP-ribose) polymerase inhibition in microsatellite unstable colorectal cancers."
"8" "NHS.HPFS" 718 ""
"9" "GSE17260" 110 "Gene expression profile for predicting survival in advanced-stage serous ovarian cancer across two independent datasets."
"10" "GSE20565" 140 "A genomic and transcriptomic approach for a differential diagnosis between primary and secondary ovarian carcinomas in patients with a previous history of breast cancer."
"11" "GSE2109" 204 "IGC EXpression Project for Oncology"
"12" "GSE26193" 107 "miR-141 and miR-200a act on ovarian tumorigenesis by controlling oxidative stress response."
"13" "GSE26712" 195 "A gene signature predicting for survival in suboptimally debulked patients with ovarian cancer."
"14" "GSE32062.GPL6480" 260 "High-risk ovarian cancer based on 126-gene expression signature is uniquely characterized by downregulation of antigen presentation pathway."
"15" "GSE6008" 103 "Lysophosphatidic acid-induced transcriptional profile represents serous epithelial ovarian carcinoma and worsened prognosis."
"16" "GSE9891" 285 "Novel molecular subtypes of serous and endometrioid ovarian cancer linked to clinical outcome."
"17" "PMID17290060" 117 "An integrated genomic-based approach to individualized treatment of patients with advanced-stage ovarian cancer."
"18" "TCGA" 578 "Integrated genomic analyses of ovarian carcinoma."
